climate_id,gcm,em
1,csiro_access1_0,rcp4_5
2,csiro_mk3_6_0,rcp8_5
3,gfdl_cm3,rcp8_5
4,gfdl_esm2g,rcp4_5
5,gfdl_esm2g,rcp8_5
6,gfdl_esm2m,rcp4_5
7,gfdl_esm2m,rcp8_5
8,ipsl_cm5a_lr,rcp4_5
9,ipsl_cm5a_lr,rcp8_5
10,ipsl_cm5a_mr,rcp8_5
11,miroc_esm,rcp4_5
12,miroc_esm,rcp8_5
13,miroc_esm_chem,rcp4_5
14,miroc_esm_chem,rcp8_5
15,miroc_miroc5,rcp4_5
16,mohc_hadgem2_cc,rcp4_5
17,mohc_hadgem2_cc,rcp8_5
18,mpi_esm_lr,rcp4_5
19,mpi_esm_lr,rcp8_5
